City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
467,keflavik,64.0049,-22.5624,3.24,100,100,4.63,IS,1706848183
468,ar rutbah,33.0381,40.2848,4.5,82,47,4.38,IQ,1706848183
469,leshan,29.5623,103.7639,9.27,72,100,1.08,CN,1706848183
470,roccella ionica,38.322,16.4009,9.88,76,98,2.51,IT,1706848183
471,kerman,30.2832,57.0788,11.92,37,40,5.14,IR,1706848183
472,imeko,7.45,2.85,24.72,89,7,1.33,NG,1706848183
473,port moresby,-9.4431,147.1797,33.68,55,40,7.72,PG,1706848183
474,clearwater,27.9659,-82.8001,13.95,75,0,2.06,US,1706848183
475,cheremukhovo,60.3484,59.9851,-20.02,100,44,1.34,RU,1706848184
476,pierre,44.3683,-100.351,0.15,96,0,2.68,US,1706848034
477,motygino,58.1831,94.7592,-21.31,97,94,1.32,RU,1706848184
478,santa elena de uairen,4.6167,-61.1333,22.12,62,100,0.93,VE,1706848184
479,alamogordo,32.8995,-105.9603,14.98,52,75,3.6,US,1706848184
480,serenje,-13.2325,30.2352,15.16,96,48,1.37,ZM,1706848184
481,barah,13.7,30.3667,11.8,33,5,4.49,SD,1706848184
482,prineville,44.2999,-120.8345,6.55,76,75,2.06,US,1706848185
483,white river,-25.3318,31.0117,18.49,94,70,1.03,ZA,1706848185
484,pisco,-13.7,-76.2167,24.03,78,0,5.14,PE,1706848185
485,bam,29.106,58.357,12.95,49,0,2.78,IR,1706848185
486,pandacaqui,15.1835,120.6455,28.66,65,100,1.03,PH,1706848185
487,revda,56.801,59.9303,-17.72,100,98,1.26,RU,1706848185
488,villamontes,-21.25,-63.5,21.95,92,100,2.86,BO,1706847906
489,boa vista,2.8197,-60.6733,26.99,57,40,3.09,BR,1706848185
490,kirakira,-10.4544,161.9205,30.61,69,73,6.24,SB,1706848186
491,salta,-24.7859,-65.4117,23.33,90,40,1.34,AR,1706847939
492,emmeloord,52.7108,5.7486,6.67,91,85,2.24,NL,1706848186
493,binissalem,39.6871,2.8417,9.41,68,20,1.03,ES,1706848186
494,jimma,7.6667,36.8333,16.73,89,97,0.4,ET,1706848186
495,marat,25.0701,45.4615,8.48,46,2,3.55,SA,1706848186
496,oltinko'l,40.8011,72.1634,1.82,50,77,1.5,UZ,1706848186
497,zhanibek,49.4167,46.85,-0.88,94,100,5.54,KZ,1706848186
498,baker city,44.7749,-117.8344,6.84,85,100,0.0,US,1706848005
499,mount isa,-20.7333,139.5,34.87,52,40,7.2,AU,1706848187
500,ardud,47.6333,22.8833,-0.06,93,75,1.03,RO,1706848187
501,vengerovo,55.6848,76.7471,-16.43,99,89,1.77,RU,1706848187
502,dolores,-36.3132,-57.6792,24.82,50,25,3.6,AR,1706848187
503,el haouaria,37.05,11.0144,12.01,80,100,7.9,TN,1706848187
504,beloyarskiy,63.7119,66.6722,-11.11,93,100,3.58,RU,1706848187
505,bull savanna,17.8868,-77.5902,20.28,82,53,2.51,JM,1706848187
506,kirillov,59.863,38.3813,-0.57,96,100,2.94,RU,1706848187
507,el granada,37.5027,-122.4694,12.0,92,100,1.54,US,1706848188
508,onguday,50.75,86.15,-9.3,83,100,0.8,RU,1706848188
509,ust-nera,64.5667,143.2,-26.59,99,100,2.01,RU,1706848188
510,ulladulla,-35.35,150.4667,35.43,70,31,5.31,AU,1706848188
511,polyarnyy,69.1989,33.4478,-1.8,72,97,9.52,RU,1706848188
512,sambava,-14.2667,50.1667,24.52,85,43,1.76,MG,1706848188
513,selibaby,15.159,-12.1829,24.74,15,100,6.4,MR,1706848188
514,sesheke,-17.4759,24.2968,19.05,89,100,2.59,ZM,1706848188
515,lazaro cardenas,17.9583,-102.2,24.76,83,19,1.11,MX,1706848174
516,york,40.1254,-77.0,7.61,77,100,1.54,US,1706848112
517,chongwe,-15.3292,28.682,18.32,88,99,2.4,ZM,1706848189
518,la palma,33.8464,-118.0467,14.19,90,75,0.89,US,1706848189
519,asau,46.4333,26.4,-0.4,97,100,0.84,RO,1706848189
520,ondjiva,-17.0667,15.7333,21.02,94,20,1.03,AO,1706848189
521,la'ie,21.6477,-157.9253,19.69,91,93,0.89,US,1706848189
522,gusev,54.5922,22.1997,0.26,94,19,5.17,RU,1706848189
523,markovo,57.3206,107.0881,-21.05,89,42,0.85,RU,1706848189
524,paita,-5.0892,-81.1144,24.65,83,100,4.79,PE,1706848190
525,bahir dar,11.5936,37.3908,15.77,70,19,0.97,ET,1706848190
526,jayapura,-2.5333,140.7,30.66,79,96,4.53,ID,1706848190
527,boca suno,-0.7167,-77.1333,22.56,97,65,0.96,EC,1706848190
528,shaowu,27.3409,117.4831,14.03,92,100,0.98,CN,1706848190
529,petropavlovka,50.6114,105.3196,-19.74,92,54,0.75,RU,1706848190
530,monrovia,6.3005,-10.7969,25.89,86,25,1.14,LR,1706847930
531,arar,30.9753,41.0381,3.01,100,3,3.6,SA,1706848190
532,pustoshka,56.3355,29.369,-3.14,80,66,4.73,RU,1706848190
533,pandan,14.0453,124.1694,27.29,76,22,5.41,PH,1706848191
534,piti village,13.4626,144.6933,29.49,73,75,10.29,GU,1706848191
535,puerto madryn,-42.7692,-65.0385,22.3,73,48,4.59,AR,1706848191
536,huaral,-11.495,-77.2078,23.09,84,99,1.92,PE,1706848191
537,mari,-7.06,-35.3194,24.45,80,43,2.44,BR,1706848084
538,bengbu,32.9408,117.3608,-1.66,83,99,4.96,CN,1706848191
539,olyokminsk,60.3736,120.4264,-21.27,94,100,1.72,RU,1706848191
540,altay,47.8667,88.1167,-6.51,74,100,1.22,CN,1706848191
541,chonchi,-42.6128,-73.8092,16.73,76,100,1.06,CL,1706848191
542,labasa,-16.4167,179.3833,27.11,88,100,2.35,FJ,1706848192
543,sievi,63.9,24.5,-5.12,78,70,5.79,FI,1706848192
544,borgo valsugana,46.0514,11.4544,6.79,89,52,1.99,IT,1706848192
545,dengzhou,37.8086,120.7508,-2.23,51,22,6.74,CN,1706848192
546,ar rahad,12.7167,30.65,12.92,28,22,4.11,SD,1706848192
547,sainte-anne-des-monts,49.124,-66.4924,-4.07,86,100,4.12,CA,1706848192
548,kaka,37.3482,59.6143,3.43,60,49,4.74,TM,1706848192
549,sabang,5.8933,95.3214,27.98,72,89,7.26,ID,1706848192
550,east london,-33.0153,27.9116,21.52,94,20,3.09,ZA,1706848193
551,bereket,39.2446,55.5154,1.04,80,34,3.85,TM,1706848193
552,kresttsy,58.2452,32.5165,-3.39,81,100,5.65,RU,1706848193
553,magadan,59.5667,150.8,-23.53,84,10,2.2,RU,1706848040
554,morehead city,34.7229,-76.726,11.0,80,0,6.17,US,1706848193
555,abatskoye,56.2875,70.4555,-24.12,100,90,1.38,RU,1706848193
556,linqiong,30.4159,103.4609,6.9,88,100,2.31,CN,1706848193
557,gaya,24.7833,85.0,14.95,100,40,1.54,IN,1706848193
558,kencong,-8.2833,113.3667,30.27,68,87,2.72,ID,1706848194
559,tlapa de comonfort,17.55,-98.55,19.21,81,100,2.47,MX,1706848194
560,sao jose da coroa grande,-8.8978,-35.1478,25.99,74,48,3.66,BR,1706848194
561,bom jesus,-9.0744,-44.3586,23.93,62,80,0.61,BR,1706848194
562,cidreira,-30.1811,-50.2056,22.99,81,0,5.33,BR,1706848194
563,malango,-2.9627,119.9001,29.96,55,32,1.2,ID,1706848194
564,broome,42.2506,-75.833,3.21,95,100,0.45,US,1706848194
565,mahibadhoo,3.7833,72.9667,27.74,77,52,4.53,MV,1706848194
566,pico truncado,-46.7949,-67.9573,20.6,32,100,10.42,AR,1706848194
567,dubuque,42.4833,-90.8668,3.33,72,0,4.12,US,1706848195
568,pathein,16.7833,94.7333,30.48,25,42,3.37,MM,1706848195
569,gaoyou,32.7858,119.4278,0.6,85,100,4.76,CN,1706848195
570,retreat,38.8245,-85.8533,8.86,82,84,2.99,US,1706848195
571,egilsstadir,65.2653,-14.3948,0.51,98,100,1.4,IS,1706848195
572,quincy,42.2529,-71.0023,5.06,80,100,4.12,US,1706848195
573,barra de santo antonio,-9.4047,-35.5072,25.6,78,20,3.92,BR,1706848195
